N,Parent_FD_RMSE,NN_FD_RMSE,NN_FF_FD_RA_RMSE,Parent_over_NN_FD,Parent_over_NN_FF_FD_RA
32,3.373627658893e-01,9.316506440205e-02,1.297331795893e-01,3.621129530200e+00,2.600435501214e+00
64,9.518776450184e-02,3.351762242748e-02,1.486235207721e-02,2.839931880842e+00,6.404623171848e+00
128,2.855304802526e-02,1.302527906240e-02,3.114343184643e-03,2.192125626519e+00,9.168240727627e+00
256,7.264628636542e-03,5.374251406066e-03,1.690209321248e-03,1.351747078364e+00,4.298064473564e+00
