N,Parent_FD_s,NN_FD_s,NN_FF_FD_RA_s,NN_FD_over_FD,NN_FF_FD_RA_over_FD
32,4.577600000000e-05,1.463270000000e-04,2.393500000000e-04,3.196587731562e+00,5.228722474659e+00
64,4.568200000000e-05,1.541480000000e-04,2.435920000000e-04,3.374370649271e+00,5.332340965807e+00
128,4.985600000000e-05,1.898000000000e-04,2.911360000000e-04,3.806964056483e+00,5.839537869063e+00
256,5.078800000000e-05,2.133330000000e-04,3.113830000000e-04,4.200460738757e+00,6.131034890132e+00
