N,Parent_FD_RMSE,NN_FD_RMSE,NN_FF_FD_RA_RMSE
32,3.904037905975e-01,1.012165073797e-01,1.778283432969e-01
64,1.089482454491e-01,4.671560804635e-02,1.695081533139e-02
128,3.170926778010e-02,1.594156553287e-02,3.343819352971e-03
256,6.389384033238e-03,4.692304586718e-03,1.380523146407e-03
