Seed,Parent_FD_RMSE,NN_FD_RMSE,NN_FF_FD_RA_RMSE,Parent_over_NN_FF_FD_RA,NN_FD_over_NN_FF_FD_RA
20260825,1.743577145072e-03,2.858307254913e-03,1.796515406115e-03,9.705328098705e-01,1.591028523988e+00
20260826,1.868297842468e-03,2.871637040892e-03,1.913436615043e-03,9.764095804269e-01,1.500774584492e+00
20260827,1.605798739416e-03,2.753387776844e-03,1.661841896542e-03,9.662764807880e-01,1.656828957420e+00
20260828,1.918770358669e-03,2.756135720063e-03,1.958309952211e-03,9.798093281931e-01,1.407405256227e+00
20260829,1.971781902678e-03,2.793161325026e-03,2.013539684118e-03,9.792615056115e-01,1.387189607961e+00
